H2 photodissociation cross-sections, 
total into all electronic states
Resampled from H2.txt, originally from http://phidrates.space.swri.edu/
lambda [nm], cross-section [cm2]
198.5,9.999999999999944e-36
199.5,9.999999999999944e-36
200.5,9.999999999999944e-36
201.5,9.999999999999944e-36
202.5,9.999999999999944e-36
203.5,9.999999999999944e-36
204.5,9.999999999999944e-36
205.5,9.999999999999944e-36
206.5,9.999999999999944e-36
207.5,9.999999999999944e-36
208.5,9.999999999999944e-36
209.5,9.999999999999944e-36
210.5,9.999999999999944e-36
211.5,9.999999999999944e-36
212.5,9.999999999999944e-36
213.5,9.999999999999944e-36
214.5,9.999999999999944e-36
215.5,9.999999999999944e-36
216.5,9.999999999999944e-36
217.5,9.999999999999944e-36
218.5,9.999999999999944e-36
219.5,9.999999999999944e-36
220.5,9.999999999999944e-36
221.5,9.999999999999944e-36
222.5,9.999999999999944e-36
223.5,9.999999999999944e-36
224.5,9.999999999999944e-36
225.5,9.999999999999944e-36
226.5,9.999999999999944e-36
227.5,9.999999999999944e-36
228.5,9.999999999999944e-36
229.5,9.999999999999944e-36
230.5,9.999999999999944e-36
231.5,9.999999999999944e-36
232.5,9.999999999999944e-36
233.5,9.999999999999944e-36
234.5,9.999999999999944e-36
235.5,9.999999999999944e-36
236.5,9.999999999999944e-36
237.5,9.999999999999944e-36
238.5,9.999999999999944e-36
239.5,9.999999999999944e-36
240.5,9.999999999999944e-36
241.5,9.999999999999944e-36
242.5,9.999999999999944e-36
243.5,9.999999999999944e-36
244.5,9.999999999999944e-36
245.5,9.999999999999944e-36
246.5,9.999999999999944e-36
247.5,9.999999999999944e-36
248.5,9.999999999999944e-36
249.5,9.999999999999944e-36
250.5,9.999999999999944e-36
251.5,9.999999999999944e-36
252.5,9.999999999999944e-36
253.5,9.999999999999944e-36
254.5,9.999999999999944e-36
255.5,9.999999999999944e-36
256.5,9.999999999999944e-36
257.5,9.999999999999944e-36
258.5,9.999999999999944e-36
259.5,9.999999999999944e-36
260.5,9.999999999999944e-36
