# CO2 Cross-Sections, Temperature Dependant
# resampled/Rayleigh subtracted from (Yoshino 1996) @ 195K/295K & (Parkinson 2003) @ 195K/295K; HuestisBerkowitz(2010) @ 300 K (200.5-201.5nm)
# values below 119.5 nm interpolated from those found on phidrates.swri.edu
#[nm]	[cm^2] 195K	[cm^2] 295K
174.5	4.12E-21	7.88E-21
175.5	3.12E-21	5.36E-21
176.5	2.37E-21	4.20E-21
177.5	1.65E-21	3.26E-21
178.5	1.35E-21	2.50E-21
179.5	9.49E-22	1.83E-21
180.5	6.40E-22	1.42E-21
181.5	5.49E-22	1.04E-21
182.5	2.91E-22	6.82E-22
183.5	3.00E-22	5.83E-22
184.5	1.28E-22	3.58E-22
185.5	1.53E-22	3.36E-22
186.5	6.31E-23	1.94E-22
187.5	8.78E-23	1.78E-22
188.5	3.96E-23	1.04E-22
189.5	4.19E-23	9.31E-23
190.5	2.29E-23	5.64E-23
191.5	2.04E-23	4.33E-23
192.5	1.60E-23	3.34E-23
193.5	1.14E-23	2.29E-23
194.5	8.85E-24	1.77E-23
195.5	5.67E-24	1.13E-23
196.5	4.37E-24	8.74E-24
197.5	3.18E-24	6.36E-24
198.5	2.07E-24	4.13E-24
199.5	1.41E-24	2.81E-24
200.5	6.03e-25	1.206e-24
201.5	8.08e-26	1.616e-25
