Mars-scaled Solar Photon Irradiance from LISIRD...http://lasp.colorado.edu/lisird/whi_ref_spectra/
I resampled these to 1-nm intervals and converted to photons 
assuming that all of the light was at the center of the bin.
Wavelength [nm]	Spectral Irradiance [ph/cm2/s/nm]
110.5	3.274359179621659e8
111.5	3.125686078498801e8
112.5	3.462235537897306e8
113.5	1.9488012810481933e8
114.5	2.5476497251198292e8
115.5	3.3724701255179024e8
116.5	5.962604324083011e8
117.5	1.9289709266092405e9
118.5	8.022233218827871e8
119.5	1.2960529346437972e9
120.5	3.5489974647857533e9
121.5	1.5401123775430783e11
122.5	1.6350975576667976e9
123.5	1.043695001450909e9
124.5	7.634561750698752e8
125.5	7.069820657401489e8
126.5	9.373010822265776e8
127.5	5.284156265153437e8
128.5	4.1503426557350564e8
129.5	4.6670737979212385e8
130.5	4.053072504027493e9
131.5	6.790185614377915e8
132.5	5.460945459314289e8
133.5	4.782710814237134e9
134.5	5.1727002300773215e8
135.5	1.18936466045961e9
136.5	7.473372154859904e8
137.5	8.14578606724282e8
138.5	8.125366222101768e8
139.5	2.0091557920871487e9
140.5	1.798743581648388e9
141.5	1.163180786945164e9
142.5	1.2619432740548637e9
143.5	1.4480156563140078e9
144.5	1.4272868599201448e9
145.5	1.5299691457170115e9
146.5	1.899477349089381e9
147.5	2.3960545784466457e9
148.5	2.4633861934274216e9
149.5	2.230457791359817e9
150.5	2.5194379537068415e9
151.5	2.734245979827975e9
152.5	3.4270430731123586e9
153.5	3.81047734366984e9
154.5	6.341809909765714e9
155.5	5.715848537048634e9
156.5	5.907970703190574e9
157.5	5.30533824065769e9
158.5	5.34582939835765e9
159.5	5.3928407396401005e9
160.5	6.033875224778028e9
161.5	7.117543811959986e9
162.5	8.223083523544623e9
163.5	8.818786433951887e9
164.5	1.02130531825714e10
165.5	1.6344721401307013e10
166.5	1.1377370626008873e10
167.5	1.3345116290370901e10
168.5	1.5010254884141165e10
169.5	2.00212318753066e10
170.5	2.3231179110618053e10
171.5	2.3492409594594727e10
172.5	2.593710615665044e10
173.5	2.6392301745995502e10
174.5	3.2458918321073643e10
175.5	3.977008293505779e10
176.5	4.336349788443896e10
177.5	5.260910638423844e10
178.5	5.888793820232647e10
179.5	5.874249904762909e10
180.5	7.413647724362968e10
181.5	8.88660226414293e10
182.5	8.709673613572423e10
183.5	9.377851998390471e10
184.5	8.281004346727852e10
185.5	9.465136854282536e10
186.5	1.0902223118744897e11
187.5	1.222961412085558e11
188.5	1.3122712054096143e11
189.5	1.443998661063873e11
190.5	1.535453816658898e11
191.5	1.647799867746664e11
192.5	1.7783693363675705e11
193.5	1.4049688135103723e11
194.5	2.2576083927554263e11
195.5	2.195976695238722e11
196.5	2.4743839688031158e11
197.5	2.5089546813915067e11
198.5	2.5390984012230472e11
199.5	2.762468270114786e11
200.5	3.0137272520981323e11
201.5	3.3359929917573303e11
202.5	3.3180108793585364e11
203.5	3.837090701718074e11
204.5	4.2669456299939276e11
205.5	4.4255311430653107e11
206.5	4.6153520181870984e11
207.5	5.356983200080322e11
208.5	6.220054086235184e11
209.5	9.072354297895256e11
210.5	1.1852895186100518e12
211.5	1.4412749017072178e12
212.5	1.3915442580342358e12
213.5	1.2683190562725835e12
214.5	1.817041325327081e12
215.5	1.5059752691999856e12
216.5	1.4599978789933684e12
217.5	1.424512902762533e12
218.5	2.047813260663103e12
219.5	2.1545207073925679e12
220.5	2.146048806415253e12
221.5	1.5263975542859968e12
222.5	2.2575926903540913e12
223.5	2.8790491005176294e12
224.5	2.661741746599271e12
225.5	2.355103670051209e12
226.5	1.6620690345698154e12
227.5	1.6891583337038552e12
228.5	2.4298680514059536e12
229.5	2.07165527500588e12
230.5	2.529023206991058e12
231.5	2.1815154234157957e12
232.5	2.354050275325101e12
233.5	1.97796098734406e12
234.5	1.6069452666898103e12
235.5	2.5933062679864346e12
236.5	2.0026197542845203e12
237.5	2.435364640123439e12
238.5	1.6729492371310845e12
239.5	2.075644964560874e12
240.5	1.9156971814199712e12
241.5	2.257600552398959e12
242.5	3.4228520609877456e12
243.5	3.1507035173482373e12
244.5	3.024947658896086e12
245.5	2.406286265326205e12
246.5	2.434002923108109e12
247.5	2.8280670036530645e12
248.5	2.1845856549566326e12
249.5	2.820438466939786e12
250.5	2.975406170600527e12
251.5	2.3039876798514937e12
252.5	2.0504714559876592e12
253.5	2.6537626385942803e12
254.5	2.9485507591681597e12
255.5	4.1933386500857466e12
256.5	5.03964482624597e12
257.5	6.287219969310144e12
258.5	6.717347206287623e12
259.5	5.594382123522845e12
260.5	4.573434154182303e12
261.5	4.507834748303634e12
262.5	5.745684867192139e12
263.5	8.504029836365974e12
264.5	1.3267336700945195e13
265.5	1.3890502222065229e13
266.5	1.3554407286457889e13
267.5	1.3615537016809227e13
268.5	1.3731249942523846e13
269.5	1.23319479066029e13
270.5	1.5664590647891701e13
271.5	1.3039162190037947e13
272.5	1.0423824737259523e13
273.5	1.1936278190456111e13
274.5	6.989023430804066e12
275.5	1.031005072193974e13
276.5	1.4206699786078744e13
277.5	1.421811721029899e13
278.5	9.423164921097447e12
279.5	4.443942100190101e12
280.5	5.213599270665032e12
281.5	1.231899884760038e13
282.5	1.7328549826489766e13
283.5	1.9429523751228246e13
284.5	1.4957914919952203e13
285.5	7.633600293098698e12
286.5	2.0274333221773812e13
287.5	2.22861834396571e13
288.5	1.8666203063590895e13
289.5	2.805546214083498e13
290.5	3.765103899483681e13
291.5	3.518545975719181e13
292.5	3.0751909729596574e13
293.5	3.5108528509517863e13
294.5	3.179775710951574e13
295.5	3.589150185853594e13
296.5	3.1761106750507277e13
297.5	3.43233265689952e13
298.5	2.5352393192106594e13
299.5	3.5400003466786586e13
300.5	2.3625770696418945e13
301.5	3.2175015434769746e13
302.5	3.173036723949354e13
303.5	4.1751756564339914e13
304.5	3.943351692741036e13
305.5	4.109179168490591e13
306.5	3.796144792498754e13
307.5	4.37157602206708e13
308.5	4.414757311260056e13
309.5	3.349157817803628e13
310.5	4.015504183504448e13
311.5	4.601400781614208e13
312.5	4.352502592775413e13
313.5	4.483521575167169e13
314.5	4.412219508241876e13
315.5	4.127230109025629e13
316.5	4.319602364103767e13
317.5	4.806398938540297e13
318.5	4.544667463376234e13
319.5	4.779348179692411e13
320.5	5.093254353440206e13
321.5	4.831181426956479e13
322.5	4.588628645731714e13
323.5	4.628353812533336e13
324.5	5.185816799434433e13
325.5	5.9964375226417875e13
326.5	6.6005722213312414e13
327.5	6.569398519401e13
328.5	6.5973874750403305e13
329.5	7.084476213908352e13
330.5	7.103138366077725e13
331.5	6.801180038895866e13
332.5	6.6713965687219586e13
333.5	6.601922606157762e13
334.5	6.736532460967812e13
335.5	6.564383890300219e13
336.5	6.097761941114261e13
337.5	6.1650650466937164e13
338.5	6.624058231438198e13
339.5	7.053588625346103e13
340.5	7.179193684355586e13
341.5	7.10492553358451e13
342.5	7.165717000810927e13
343.5	6.864554453544305e13
344.5	6.504194070123898e13
345.5	6.718275730052831e13
346.5	6.934156193314953e13
347.5	6.889005716721247e13
348.5	6.854659088677894e13
349.5	7.113396762221436e13
350.5	7.530600966275958e13
351.5	7.520883402909762e13
352.5	7.460576107516812e13
353.5	7.895206376780269e13
354.5	8.31123233683618e13
355.5	8.058574084373534e13
356.5	7.281901584152423e13
357.5	6.494410010124419e13
358.5	6.498051947879654e13
359.5	7.186943979744422e13
360.5	7.534928604474077e13
361.5	7.525621038614595e13
362.5	7.689984016022944e13
363.5	7.994192254406217e13
364.5	8.434057214117353e13
365.5	9.042216639971414e13
366.5	9.491739736833742e13
367.5	9.525688263457583e13
368.5	9.46265559292221e13
369.5	9.580413734722477e13
370.5	9.559735580741766e13
371.5	9.261878486554227e13
372.5	8.62078262324533e13
373.5	8.052694012217889e13
374.5	7.93052178225855e13
375.5	8.393770361141966e13
376.5	9.26192533349744e13
377.5	9.986545609527558e13
378.5	1.0179151394448773e14
379.5	9.926693217472772e13
380.5	9.407694585637267e13
